station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,metadata,
40458,1990/1/1,0,22.45,10.3,27.6,17.3,32.8,51.7,96.8,74.25,name=CAPALABA WATER TREAT                    ,
40458,1990/1/2,0,22.65,10.3,27.8,17.5,33.3,63.4,100,81.7,latitude= -27.5314,
40458,1990/1/3,0,23.2,12.4,29.4,17,29.5,53.7,100,76.85,longitude= 153.1825,
40458,1990/1/4,0,24.65,13.3,31.3,18,33,45.5,100,72.75,elevation=  28.0 m,
40458,1990/1/5,0,25.15,5.1,27.7,22.6,21.7,58.7,79.5,69.1,reference=rxnjhg,
40458,1990/1/6,0.8,24.65,6.9,28.1,21.2,20.5,63.7,96.2,79.95,extracted=20260417,
40458,1990/1/7,0,25.3,6,28.3,22.3,25.9,62.1,88.8,75.45,dataset=BoM Only,
40458,1990/1/8,0,24.95,7.1,28.5,21.4,25.1,57.6,87.9,72.75,"Please read our web site for information about the meanings of the codes, and other information",
40458,1990/1/9,0,23.65,7.9,27.6,19.7,15.5,63.4,100,81.7,,
40458,1990/1/10,0,23.65,9.3,28.3,19,27.8,59.5,100,79.75,,
40458,1990/1/11,1.4,23.55,5.7,26.4,20.7,10.5,69.7,98.3,84,,Source
40458,1990/1/12,13,24,7.4,27.7,20.3,24.8,64.9,100,82.45,,daily_rain_source
40458,1990/1/13,3,25,8.8,29.4,20.6,29.6,55.9,94.4,75.15,,max_temp_source
40458,1990/1/14,0.6,26.2,9.4,30.9,21.5,30.4,58.7,100,79.35,,min_temp_source
40458,1990/1/15,0.6,27,7.4,30.7,23.3,22,65.9,100,82.95,,radiation_source
40458,1990/1/16,98,25.6,10.6,30.9,20.3,22.7,48.4,90.7,69.55,,rh_tmax_source
40458,1990/1/17,0,23.95,6.5,27.2,20.7,27.4,64.6,95.5,80.05,,rh_tmin_source
40458,1990/1/18,0,24.15,7.3,27.8,20.5,30.7,59.7,92.5,76.1,,
40458,1990/1/19,0,23.9,9.2,28.5,19.3,25.3,58.6,100,79.3,,
40458,1990/1/20,0,24.6,8,28.6,20.6,29.4,62.6,100,81.3,,
40458,1990/1/21,0,26.1,7,29.6,22.6,29.7,64.6,97.8,81.2,,
40458,1990/1/22,0,26.05,6.7,29.4,22.7,25.7,58.3,86.7,72.5,,
40458,1990/1/23,0.4,24.2,6.8,27.6,20.8,24.1,51.5,77.4,64.45,,
40458,1990/1/24,1.2,23.75,6.9,27.2,20.3,25,54.6,82.7,68.65,,
40458,1990/1/25,5.8,23.45,9.5,28.2,18.7,31,50.7,90,70.35,,
40458,1990/1/26,0,22.95,10.1,28,17.9,30.3,52.9,97.6,75.25,,
40458,1990/1/27,0,25.35,12.7,31.7,19,31.6,47.5,100,73.75,,
40458,1990/1/28,0,26,12,32,20,31.3,50.3,100,75.15,,
40458,1990/1/29,0,25.6,5.4,28.3,22.9,12.9,69.4,95.7,82.55,,
40458,1990/1/30,1.6,23.9,5,26.4,21.4,17.8,64.8,87.5,76.15,,
40458,1990/1/31,0.4,24.45,8.3,28.6,20.3,24.5,52.4,86.1,69.25,,
40458,1990/2/1,8.4,24,5,26.5,21.5,6.2,78.3,100,89.15,,
40458,1990/2/2,13,24.4,6.4,27.6,21.2,7.4,75,100,87.5,,
40458,1990/2/3,143.4,24.1,8.2,28.2,20,13.6,65.4,100,82.7,,
40458,1990/2/4,2.4,27.8,10.4,33,22.6,31.4,41.2,75.5,58.35,,
40458,1990/2/5,0,26.25,10.5,31.5,21,30,58.6,100,79.3,,
40458,1990/2/6,0,26.25,8.5,30.5,22,29.9,65,100,82.5,,
40458,1990/2/7,0,26.7,7.8,30.6,22.8,29.7,66,100,83,,
40458,1990/2/8,0,25.45,7.7,29.3,21.6,26.6,66.7,100,83.35,,
40458,1990/2/9,0,25.9,7,29.4,22.4,25.2,62.7,94.9,78.8,,
40458,1990/2/10,0,27.65,9.3,32.3,23,29.3,52.3,90.1,71.2,,
40458,1990/2/11,0,25.25,10.1,30.3,20.2,30,50.5,92.1,71.3,,
40458,1990/2/12,0,24.95,7.1,28.5,21.4,28.4,55.3,84.4,69.85,,
40458,1990/2/13,0,25.25,6.9,28.7,21.8,15.4,60.5,91.2,75.85,,
40458,1990/2/14,43.4,23.6,9,28.1,19.1,27.1,61.6,100,80.8,,
40458,1990/2/15,0,24.25,8.1,28.3,20.2,28.4,60.3,98,79.15,,
40458,1990/2/16,0,24.85,7.3,28.5,21.2,26,58.3,90.2,74.25,,
40458,1990/2/17,0,25.1,8,29.1,21.1,25.4,58.6,94.4,76.5,,
40458,1990/2/18,0,25.35,8.3,29.5,21.2,20.6,58,95,76.5,,
40458,1990/2/19,0,26.45,6.7,29.8,23.1,24.1,61.5,91.3,76.4,,
40458,1990/2/20,11.2,24.55,5.7,27.4,21.7,21.5,72.1,100,86.05,,
40458,1990/2/21,2.6,24.85,7.5,28.6,21.1,24.6,64.6,100,82.3,,
40458,1990/2/22,3.4,25.1,7,28.6,21.6,23.1,63.6,96.5,80.05,,
40458,1990/2/23,0.4,24.9,8.4,29.1,20.7,25.4,59.3,97.9,78.6,,
40458,1990/2/24,2,23.5,1.8,24.4,22.6,1,85.1,94.9,90,,
40458,1990/2/25,103.2,22.15,3.9,24.1,20.2,1,83.3,100,91.65,,
40458,1990/2/26,15.2,24.2,7.8,28.1,20.3,13.7,63.7,100,81.85,,
40458,1990/2/27,13.2,24,7.2,27.6,20.4,23.9,61.2,94.3,77.75,,
40458,1990/2/28,0.8,23.6,8.2,27.7,19.5,24.3,58.4,95.8,77.1,,
40458,1990/3/1,0,23.7,8.8,28.1,19.3,17.7,62.3,100,81.15,,
40458,1990/3/2,53.8,24.2,8.6,28.5,19.9,23.1,63,100,81.5,,
40458,1990/3/3,4,23.1,2.6,24.4,21.8,3.8,82.8,96.9,89.85,,
40458,1990/3/4,60,24.1,6.2,27.2,21,14.1,72.1,100,86.05,,
40458,1990/3/5,0.4,24,8,28,20,23.8,62.7,100,81.35,,
40458,1990/3/6,0,23.85,9.5,28.6,19.1,19.7,62.3,100,81.15,,
40458,1990/3/7,0,24.45,10.3,29.6,19.3,20.2,54.5,100,77.25,,
40458,1990/3/8,7.2,21.45,8.7,25.8,17.1,23.5,42.2,71.8,57,,
40458,1990/3/9,0,21.75,12.5,28,15.5,26.2,36.3,77.8,57.05,,
40458,1990/3/10,0,22.6,13,29.1,16.1,25.6,44.9,99,71.95,,
40458,1990/3/11,0,24.05,14.7,31.4,16.7,24.8,49,100,74.5,,
40458,1990/3/12,0,23.6,10,28.6,18.6,24,60.6,100,80.3,,
40458,1990/3/13,3.6,23.35,4.1,25.4,21.3,13.6,69.7,89.3,79.5,,
40458,1990/3/14,0.6,22.35,7.9,26.3,18.4,22.9,49.7,80.4,65.05,,
40458,1990/3/15,0,22.3,9.6,27.1,17.5,18.2,55.2,99.1,77.15,,
40458,1990/3/16,0,23.25,9.1,27.8,18.7,22.4,51.9,90,70.95,,
40458,1990/3/17,0,23.4,8.6,27.7,19.1,19.1,59,99.1,79.05,,
40458,1990/3/18,0,23.8,9.8,28.7,18.9,23.9,54.1,97.6,75.85,,
40458,1990/3/19,0,23.35,9.3,28,18.7,24.5,50.5,88.6,69.55,,
40458,1990/3/20,0,22.45,6.7,25.8,19.1,16.2,54.5,81.9,68.2,,
40458,1990/3/21,0,22.5,8.4,26.7,18.3,22.7,54.8,91.3,73.05,,
40458,1990/3/22,0,22.35,9.1,26.9,17.8,20.6,58.7,100,79.35,,
40458,1990/3/23,1,23.1,5.6,25.9,20.3,10.1,66.8,93.7,80.25,,
40458,1990/3/24,0.5,22.85,6.3,26,19.7,6.4,62.2,91.1,76.65,,
40458,1990/3/25,8.5,22.4,5.6,25.2,19.6,8.8,68.6,96.5,82.55,,
40458,1990/3/26,20,21.65,4.9,24.1,19.2,3.8,74.6,100,87.3,,
40458,1990/3/27,36,21.45,4.3,23.6,19.3,5.8,81.7,100,90.85,,
40458,1990/3/28,37,22.45,4.7,24.8,20.1,7.2,80.2,100,90.1,,
40458,1990/3/29,6.2,23.25,8.3,27.4,19.1,20.2,66.3,100,83.15,,
40458,1990/3/30,1.8,22.75,7.7,26.6,18.9,12.7,68.9,100,84.45,,
40458,1990/3/31,0,22.7,7.8,26.6,18.8,17.7,65.8,100,82.9,,
40458,1990/4/1,3.6,22.95,7.7,26.8,19.1,17.4,63.6,100,81.8,,
40458,1990/4/2,1,22.5,4.8,24.9,20.1,6.7,70.5,94.4,82.45,,
40458,1990/4/3,0.6,21.45,5.1,24,18.9,5.1,71.4,97.6,84.5,,
40458,1990/4/4,0.8,20.4,2.8,21.8,19,5.8,85.4,100,92.7,,
40458,1990/4/5,126.6,22.95,5.9,25.9,20,7.5,72.1,100,86.05,,
40458,1990/4/6,24,23.6,7.8,27.5,19.7,18.9,68.7,100,84.35,,
40458,1990/4/7,0,23.6,6.2,26.7,20.5,17,72,100,86,,
40458,1990/4/8,5.2,24.15,5.5,26.9,21.4,17.8,75.3,100,87.65,,
40458,1990/4/9,0.4,23.2,6.2,26.3,20.1,12.8,72.8,100,86.4,,
40458,1990/4/10,10.6,22.3,7.6,26.1,18.5,14,71.3,100,85.65,,
40458,1990/4/11,5.8,22.5,6,25.5,19.5,7.2,71.1,100,85.55,,
40458,1990/4/12,3.6,23.55,6.7,26.9,20.2,16.2,69.4,100,84.7,,
40458,1990/4/13,0,22.4,8.6,26.7,18.1,18,63.4,100,81.7,,
40458,1990/4/14,2.2,22.25,7.9,26.2,18.3,11.5,66.8,100,83.4,,
40458,1990/4/15,0,23.25,8.1,27.3,19.2,15.4,66.2,100,83.1,,
40458,1990/4/16,0,22.7,4.8,25.1,20.3,7,75.6,100,87.8,,
40458,1990/4/17,1.6,21.45,4.5,23.7,19.2,7.5,73.7,97.1,85.4,,
40458,1990/4/18,7.2,21.4,5.4,24.1,18.7,7.9,70.3,97.9,84.1,,
40458,1990/4/19,0.6,22.15,5.1,24.7,19.6,9.8,67.5,92.1,79.8,,
40458,1990/4/20,5,22.25,3.3,23.9,20.6,4.4,87.7,100,93.85,,
40458,1990/4/21,54.2,21.6,3.2,23.2,20,4.7,83.7,100,91.85,,
40458,1990/4/22,5,20.55,10.1,25.6,15.5,19.4,55.2,100,77.6,,
40458,1990/4/23,0,20,9.8,24.9,15.1,15.8,54.6,100,77.3,,
40458,1990/4/24,0,20.35,11.3,26,14.7,19.5,46.7,93.9,70.3,,
40458,1990/4/25,0,21.05,11.3,26.7,15.4,18.8,48.3,96.6,72.45,,
40458,1990/4/26,0,18.55,9.5,23.3,13.8,17.9,47.2,85.6,66.4,,
40458,1990/4/27,0,17.2,11.4,22.9,11.5,19.4,37.3,76.7,57,,
40458,1990/4/28,0,16.65,12.9,23.1,10.2,19,38.2,86.8,62.5,,
40458,1990/4/29,0,16.95,15.9,24.9,9,18.8,38.4,100,69.2,,
40458,1990/4/30,0,18.6,14.6,25.9,11.3,18.9,40.4,100,70.2,,
40458,1990/5/1,0,18.45,12.1,24.5,12.4,17.6,55.3,100,77.65,,
40458,1990/5/2,0,19.15,12.5,25.4,12.9,17,57,100,78.5,,
40458,1990/5/3,0,19.3,12.6,25.6,13,17.8,51.8,100,75.9,,
40458,1990/5/4,0,19.5,11.4,25.2,13.8,17.7,55.5,100,77.75,,
40458,1990/5/5,0,20.15,10.7,25.5,14.8,16.7,58.2,100,79.1,,
40458,1990/5/6,0,20.2,11.4,25.9,14.5,17.1,58.7,100,79.35,,
40458,1990/5/7,0,20.05,11.3,25.7,14.4,16,56.9,100,78.45,,
40458,1990/5/8,0,19.85,9.1,24.4,15.3,16.3,60.9,100,80.45,,
40458,1990/5/9,0,20.3,9.8,25.2,15.4,15.9,62.7,100,81.35,,
40458,1990/5/10,6,21,7.6,24.8,17.2,11.6,69.7,100,84.85,,
40458,1990/5/11,0.4,20.7,8.2,24.8,16.6,15.1,66.8,100,83.4,,
40458,1990/5/12,3.4,20.5,8.2,24.6,16.4,14.8,62.7,100,81.35,,
40458,1990/5/13,1.4,20.45,10.9,25.9,15,15.7,58.1,100,79.05,,
40458,1990/5/14,0,19.45,10.7,24.8,14.1,16,57.5,100,78.75,,
40458,1990/5/15,0,18.2,7.8,22.1,14.3,8.1,58.7,95.8,77.25,,
40458,1990/5/16,1,19.45,6.1,22.5,16.4,7.1,69,100,84.5,,
40458,1990/5/17,4.6,19.25,4.3,21.4,17.1,5.1,83.6,100,91.8,,
40458,1990/5/18,8.8,21,10,26,16,12.3,58.6,100,79.3,,
40458,1990/5/19,0,17,9.4,21.7,12.3,15.1,47,85.3,66.15,,
40458,1990/5/20,0,17.35,10.5,22.6,12.1,14,48.2,93.6,70.9,,
40458,1990/5/21,0,15.55,9.9,20.5,10.6,13.5,49.8,93.9,71.85,,
40458,1990/5/22,1.6,15.6,7.2,19.2,12,1.6,78.2,100,89.1,,
40458,1990/5/23,68.8,19.5,8,23.5,15.5,11.6,67,100,83.5,,
