station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,metadata,,
14015,1990/1/1,0,29.2,8.2,33.3,25.1,24.1,58.3,93.5,75.9,name=DARWIN AIRPORT                          ,,
14015,1990/1/2,20,29,10.8,34.4,23.6,27.4,51.7,96.5,74.1,latitude= -12.4239,,
14015,1990/1/3,0.6,30,7.2,33.6,26.4,23.3,57.3,86.6,71.95,longitude= 130.8925,,
14015,1990/1/4,0,30.3,5.4,33,27.6,25.4,55.9,76.1,66,elevation=  30.4 m,,
14015,1990/1/5,0,30.3,5.4,33,27.6,23.2,59.2,80.7,69.95,reference=rxnjhg,,
14015,1990/1/6,0,30.8,5,33.3,28.3,27.6,58.3,77.5,67.9,extracted=20260417,,
14015,1990/1/7,0,30.2,5.8,33.1,27.3,22.5,55.5,77.5,66.5,dataset=BoM Only,,
14015,1990/1/8,0,29.45,7.1,33,25.9,24.4,52.5,79,65.75,"Please read our web site for information about the meanings of the codes, and other information",,
14015,1990/1/9,25.6,27.2,7.2,30.8,23.6,18.7,71.4,100,85.7,,,
14015,1990/1/10,2.6,26.85,5.7,29.7,24,12,76,100,88,,Source,
14015,1990/1/11,12,26.2,4.4,28.4,24,13.3,77,99.9,88.45,,daily_rain_source,0
14015,1990/1/12,19,26.5,4.6,28.8,24.2,8.8,80.1,100,90.05,,max_temp_source,0
14015,1990/1/13,21.2,26.65,5.1,29.2,24.1,7.2,73.5,99.3,86.4,,min_temp_source,0
14015,1990/1/14,16,27.5,6.2,30.6,24.4,14.8,72.2,100,86.1,,radiation_source,42
14015,1990/1/15,33.2,27.5,7,31,24,23.7,66.3,99.9,83.1,,rh_tmax_source,26
14015,1990/1/16,0,29.6,5.2,32.2,27,22.9,69.9,94.3,82.1,,rh_tmin_source,26
14015,1990/1/17,0,29.65,7.9,33.6,25.7,26.1,60.9,96,78.45,,,
14015,1990/1/18,0,28.9,3.2,30.5,27.3,6.5,81.8,98.4,90.1,,,
14015,1990/1/19,6.6,27.85,9.7,32.7,23,23.4,67.9,100,83.95,,,
14015,1990/1/20,9.2,27.65,4.9,30.1,25.2,9.8,69.8,93,81.4,,,
14015,1990/1/21,10.2,28.35,6.1,31.4,25.3,20.1,69,98.3,83.65,,,
14015,1990/1/22,2.2,29.1,5.8,32,26.2,20,62.7,87.6,75.15,,,
14015,1990/1/23,35.6,27.2,11.2,32.8,21.6,23.4,56.5,100,78.25,,,
14015,1990/1/24,44.2,27.7,8.2,31.8,23.6,26.6,63.4,100,81.7,,,
14015,1990/1/25,15.6,27,10.8,32.4,21.6,27.4,51.2,96.5,73.85,,,
14015,1990/1/26,0.2,29.4,6,32.4,26.4,27.5,65.2,92.1,78.65,,,
14015,1990/1/27,14.8,28.5,9.4,33.2,23.8,27.2,62.3,100,81.15,,,
14015,1990/1/28,0,31.5,5.8,34.4,28.6,27.1,58.3,81,69.65,,,
14015,1990/1/29,10,28.55,11.1,34.1,23,23.1,49.4,94,71.7,,,
14015,1990/1/30,4,29.4,7,32.9,25.9,16.2,71.4,100,85.7,,,
14015,1990/1/31,2.2,29.45,4.5,31.7,27.2,13,63.7,82.6,73.15,,,
14015,1990/2/1,4.2,27.7,6.6,31,24.4,19.4,70.6,100,85.3,,,
14015,1990/2/2,15.2,28.3,5.4,31,25.6,14.5,74.8,100,87.4,,,
14015,1990/2/3,53.2,27.6,9.2,32.2,23,25,65.9,100,82.95,,,
14015,1990/2/4,0,30.7,8.2,34.8,26.6,25.4,57,91,74,,,
14015,1990/2/5,3,29.45,8.3,33.6,25.3,27.5,57.3,92.4,74.85,,,
14015,1990/2/6,2.6,29.1,6.6,32.4,25.8,24.4,65.2,95.5,80.35,,,
14015,1990/2/7,0,29.7,6.2,32.8,26.6,28.5,59.9,85.6,72.75,,,
14015,1990/2/8,1.8,29.05,8.1,33.1,25,25.9,49.2,78.6,63.9,,,
14015,1990/2/9,10,27,11.2,32.6,21.4,27.6,68.3,100,84.15,,,
14015,1990/2/10,0,30,5.6,32.8,27.2,27.3,59.9,82.6,71.25,,,
14015,1990/2/11,0,29.8,7.2,33.4,26.2,28.4,61.6,93.2,77.4,,,
14015,1990/2/12,0,31.05,6.7,34.4,27.7,27.6,54.8,80.2,67.5,,,
14015,1990/2/13,0,30.55,5.1,33.1,28,23.3,62.7,83.9,73.3,,,
14015,1990/2/14,2.4,29.1,8,33.1,25.1,28.5,58.9,93.5,76.2,,,
14015,1990/2/15,2.8,28.2,8.8,32.6,23.8,28.5,57.1,95.3,76.2,,,
14015,1990/2/16,0,28.9,7.8,32.8,25,18.8,56.5,88.7,72.6,,,
14015,1990/2/17,0,28.1,8.2,32.2,24,19.6,58.4,94.2,76.3,,,
14015,1990/2/18,4,28.35,10.9,33.8,22.9,26,50.2,94.6,72.4,,,
14015,1990/2/19,0,29.45,9.1,34,24.9,23.1,49.6,83.9,66.75,,,
14015,1990/2/20,27.6,27.9,9.6,32.7,23.1,21.2,64.1,100,82.05,,,
14015,1990/2/21,8.8,28.1,10,33.1,23.1,25.2,62.7,100,81.35,,,
14015,1990/2/22,0,28.3,7,31.8,24.8,17.4,63.4,95.2,79.3,,,
14015,1990/2/23,6.6,26.65,6.5,29.9,23.4,17.9,70.6,100,85.3,,,
14015,1990/2/24,0.2,28.3,8.2,32.4,24.2,18.6,61.3,98.7,80,,,
14015,1990/2/25,0,28.15,8.5,32.4,23.9,20.9,57.8,94.8,76.3,,,
14015,1990/2/26,1.2,28.65,7.9,32.6,24.7,19.4,64.5,100,82.25,,,
14015,1990/2/27,9.2,28.95,7.7,32.8,25.1,22,67.5,100,83.75,,,
14015,1990/2/28,0,29,7.6,32.8,25.2,20.7,63.7,98.9,81.3,,,
14015,1990/3/1,0,28.85,8.7,33.2,24.5,22.6,58.6,97,77.8,,,
14015,1990/3/2,3.2,30,7.4,33.7,26.3,22.5,60.6,92.7,76.65,,,
14015,1990/3/3,17.6,27.7,11.6,33.5,21.9,23.5,64.9,100,82.45,,,
14015,1990/3/4,38.6,26.05,11.7,31.9,20.2,23.6,63,100,81.5,,,
14015,1990/3/5,26.6,26.65,9.7,31.5,21.8,27.2,60.8,100,80.4,,,
14015,1990/3/6,27.6,27.25,6.7,30.6,23.9,15.8,72.2,100,86.1,,,
14015,1990/3/7,3.8,28.35,5.3,31,25.7,16.4,70.6,96,83.3,,,
14015,1990/3/8,5,27.8,4,29.8,25.8,9.7,71,89.7,80.35,,,
14015,1990/3/9,26.2,28.65,7.7,32.5,24.8,19.9,68.7,100,84.35,,,
14015,1990/3/10,4.4,26,8.4,30.2,21.8,10.8,65.5,100,82.75,,,
14015,1990/3/11,45.8,26.25,5.7,29.1,23.4,10.3,69.8,97.7,83.75,,,
14015,1990/3/12,6.8,27.2,7.8,31.1,23.3,24,70.2,100,85.1,,,
14015,1990/3/13,0,29.35,4.7,31.7,27,22.7,67.8,88.9,78.35,,,
14015,1990/3/14,0,29.7,4.6,32,27.4,23.1,66.7,86.9,76.8,,,
14015,1990/3/15,1.6,27.5,8.6,31.8,23.2,24.1,59.8,98.9,79.35,,,
