station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,,,,
94030,1990/1/1,0,19.75,9.5,24.5,15,33.1,30.6,55.2,42.9,,,,
94030,1990/1/2,0,16.55,13.5,23.3,9.8,23.1,35.3,83.4,59.35,,,,
94030,1990/1/3,5.4,18.1,7.2,21.7,14.5,17.6,63.2,99.4,81.3,,,,
94030,1990/1/4,26.8,14.7,9.2,19.3,10.1,31.6,34.9,63.1,49,,,,
94030,1990/1/5,0,13.55,11.3,19.2,7.9,24.4,42.7,89.2,65.95,,,,
94030,1990/1/6,0,16.75,14.1,23.8,9.7,27.6,41.7,100,70.85,,,,
94030,1990/1/7,0,17.7,10,22.7,12.7,31.5,44.6,83.8,64.2,,,,
94030,1990/1/8,0,16.05,7.3,19.7,12.4,25.2,51.9,82.7,67.3,,Source,,
94030,1990/1/9,0,15,13.4,21.7,8.3,34.2,42.4,100,71.2,,daily_rain_source,,0
94030,1990/1/10,0,19.1,16.6,27.4,10.8,34.3,33.2,93.5,63.35,,max_temp_source,,25
94030,1990/1/11,0,23.85,16.1,31.9,15.8,15,31.7,83.6,57.65,,min_temp_source,,25
94030,1990/1/12,10.4,22.4,10.2,27.5,17.3,32.9,29.2,54.2,41.7,,radiation_source,,42
94030,1990/1/13,0,19.2,6.8,22.6,15.8,29.2,35,53.5,44.25,,rh_tmax_source,,26
94030,1990/1/14,0,16.25,7.3,19.9,12.6,25.8,37.9,60.4,49.15,,rh_tmin_source,,26
94030,1990/1/15,1.6,12.2,7,15.7,8.7,22.1,42.1,66.7,54.4,,,,
94030,1990/1/16,0,12.45,9.9,17.4,7.5,20.2,44.3,84.9,64.6,,,,
94030,1990/1/17,0,14.7,11,20.2,9.2,28.3,38.9,79.1,59,,,,
94030,1990/1/18,0,17.2,11.2,22.8,11.6,24.1,43.3,87.9,65.6,,,,
94030,1990/1/19,0,17.4,14.4,24.6,10.2,25.2,33.6,83.6,58.6,,,,
94030,1990/1/20,2.2,15.75,7.5,19.5,12,25,45,72.8,58.9,,,,
94030,1990/1/21,0.4,15.25,11.1,20.8,9.7,20.1,41.9,85.6,63.75,,,,
94030,1990/1/22,0,15.85,16.5,24.1,7.6,32.2,32.7,93.9,63.3,,,,
94030,1990/1/23,0,20.7,23,32.2,9.2,31.9,27.4,100,63.7,,,,
94030,1990/1/24,0,25,21.6,35.8,14.2,16.6,20.6,74.8,47.7,,,,
94030,1990/1/25,0,14.7,11.6,20.5,8.9,31.8,41.9,88.6,65.25,,,,
94030,1990/1/26,0,14.95,12.7,21.3,8.6,13.2,47.8,100,73.9,,,,
94030,1990/1/27,0,19.6,14,26.6,12.6,23.7,41.9,100,70.95,,,,
94030,1990/1/28,3,15.3,7,18.8,11.8,21.5,48.9,76.6,62.75,,,,
94030,1990/1/29,4.4,14.35,10.1,19.4,9.3,26.6,42.2,81.1,61.65,,,,
94030,1990/1/30,0.2,20.45,19.7,30.3,10.6,17.6,24.8,83.8,54.3,,,,
94030,1990/1/31,0,18.05,4.9,20.5,15.6,11.4,37.3,50.8,44.05,,,,
94030,1990/2/1,8.2,13.05,3.3,14.7,11.4,2,76.6,95,85.8,,,,
94030,1990/2/2,7.4,14.15,5.5,16.9,11.4,7,68.1,97.2,82.65,,,,
94030,1990/2/3,11.2,13.55,1.9,14.5,12.6,3.4,82.4,93.3,87.85,,,,
94030,1990/2/4,11,14.35,5.3,17,11.7,13.7,56.3,79.3,67.8,,,,
94030,1990/2/5,0.8,12.45,3.5,14.2,10.7,5.6,60.6,76.2,68.4,,,,
94030,1990/2/6,0.6,13.45,4.7,15.8,11.1,10.3,57.4,78,67.7,,,,
94030,1990/2/7,0.2,14.5,6.2,17.6,11.4,14.8,55.7,83.1,69.4,,,,
94030,1990/2/8,0,15.7,6.2,18.8,12.6,13.8,52.6,78.2,65.4,,,,
94030,1990/2/9,0,16.2,9.6,21,11.4,24.7,53.1,98,75.55,,,,
94030,1990/2/10,0,15.75,9.9,20.7,10.8,19.4,55.7,100,77.85,,,,
94030,1990/2/11,0,14.45,10.7,19.8,9.1,22.9,59.8,100,79.9,,,,
94030,1990/2/12,0,15.75,11.1,21.3,10.2,27.6,49.4,100,74.7,,,,
94030,1990/2/13,0,15.2,11,20.7,9.7,27.6,52.5,100,76.25,,,,
94030,1990/2/14,0,15.4,13.4,22.1,8.7,28.6,45.1,100,72.55,,,,
94030,1990/2/15,0,17.9,12.8,24.3,11.5,24.2,41.8,93.7,67.75,,,,
94030,1990/2/16,0,20,15.8,27.9,12.1,28.2,37.8,100,68.9,,,,
94030,1990/2/17,0,16.25,6.5,19.5,13,8.6,59.1,89.5,74.3,,,,
94030,1990/2/18,5.6,17.15,11.9,23.1,11.2,18.6,37.5,79.7,58.6,,,,
94030,1990/2/19,0,16.6,10.2,21.7,11.5,17.1,37,70.8,53.9,,,,
94030,1990/2/20,1.2,18.6,16.4,26.8,10.4,25.3,31.2,87.3,59.25,,,,
94030,1990/2/21,0,18.55,14.7,25.9,11.2,26.6,41.6,100,70.8,,,,
94030,1990/2/22,0,20,10.4,25.2,14.8,4.3,49.3,93.9,71.6,,,,
94030,1990/2/23,0.2,17.25,10.3,22.4,12.1,23.2,33.6,64.5,49.05,,,,
94030,1990/2/24,0,17.45,7.9,21.4,13.5,23.8,46.7,77,61.85,,,,
94030,1990/2/25,0,17.2,15,24.7,9.7,25.2,40.8,100,70.4,,,,
94030,1990/2/26,0,16.05,5.3,18.7,13.4,14.9,65.9,92.4,79.15,,,,
94030,1990/2/27,0,18.6,9.4,23.3,13.9,20.1,50,90.1,70.05,,,,
94030,1990/2/28,1.2,16.35,5.3,19,13.7,8.1,73.8,100,86.9,,,,
94030,1990/3/1,0,16.85,7.3,20.5,13.2,21.8,61.4,97.6,79.5,,,,
