station,date,rain,avg_temp,delta_temp,max_temp,min_temp,radiation,max_trh,min_trh,avg_trh,,,
9021,1990/1/1,0,19.75,11.1,25.3,14.2,32.7,49.6,98.9,74.25,,,
9021,1990/1/2,0,19.9,10.6,25.2,14.6,26.6,49.9,96.3,73.1,,,
9021,1990/1/3,0,21.65,12.9,28.1,15.2,27.8,32.4,71.3,51.85,,,
9021,1990/1/4,0,25.3,15.8,33.2,17.4,33.6,25.8,66,45.9,,Source,
9021,1990/1/5,0,22.2,10,27.2,17.2,33.7,44.4,81.6,63,,daily_rain_source,0
9021,1990/1/6,0,22.9,14.4,30.1,15.7,32.9,28.8,69,48.9,,max_temp_source,0
9021,1990/1/7,0,24.25,15.5,32,16.5,28.3,24.2,61.3,42.75,,min_temp_source,0
9021,1990/1/8,0,28.45,19.7,38.3,18.6,32.2,20.8,65.4,43.1,,radiation_source,42
9021,1990/1/9,0,19.8,4.8,22.2,17.4,15,77,100,88.5,,rh_tmax_source,26
9021,1990/1/10,3.6,16.2,11.8,22.1,10.3,25.4,37.6,79.9,58.75,,rh_tmin_source,26
9021,1990/1/11,0,17.15,16.1,25.2,9.1,31.6,29.3,81.4,55.35,,,
9021,1990/1/12,0,24.95,21.3,35.6,14.3,33,22.5,80.4,51.45,,,
9021,1990/1/13,0,27.9,17.2,36.5,19.3,32.5,26.2,71.5,48.85,,,
9021,1990/1/14,0,30.7,13,37.2,24.2,32.5,30.6,64.3,47.45,,,
9021,1990/1/15,0,24.3,4.8,26.7,21.9,17.2,62.8,83.8,73.3,,,
9021,1990/1/16,0,20.8,12.4,27,14.6,32.7,39.3,84.3,61.8,,,
9021,1990/1/17,0,20.9,17,29.4,12.4,32.9,30,85.5,57.75,,,
9021,1990/1/18,0,23.65,15.3,31.3,16,32.7,26.9,67.7,47.3,,,
9021,1990/1/19,0,23.7,15.6,31.5,15.9,26.3,32.5,83.1,57.8,,,
9021,1990/1/20,2,25.3,10.4,30.5,20.1,7.5,44.4,82.5,63.45,,,
9021,1990/1/21,1.4,26.05,11.7,31.9,20.2,31,52.7,100,76.35,,,
9021,1990/1/22,0,24.85,6.3,28,21.7,13.3,61.9,90.2,76.05,,,
9021,1990/1/23,0.6,21.7,8,25.7,17.7,30.2,45.4,74.1,59.75,,,
9021,1990/1/24,0,22.25,16.7,30.6,13.9,33.2,22.8,63,42.9,,,
9021,1990/1/25,0,24.75,17.5,33.5,16,32.6,25.3,72.1,48.7,,,
9021,1990/1/26,0,21.8,15.2,29.4,14.2,31.8,36.6,92.7,64.65,,,
9021,1990/1/27,0,22.65,12.3,28.8,16.5,25.8,29,61.3,45.15,,,
9021,1990/1/28,3.4,19.25,6.7,22.6,15.9,2.6,58.4,88.6,73.5,,,
9021,1990/1/29,51.6,21,10,26,16,25.5,54.2,100,77.1,,,
9021,1990/1/30,0,17.3,14,24.3,10.3,29.7,28.6,69.5,49.05,,,
9021,1990/1/31,0,19.35,14.9,26.8,11.9,32.3,30.4,76.8,53.6,,,
9021,1990/2/1,0,22,14.8,29.4,14.6,31.7,26.1,64.4,45.25,,,
9021,1990/2/2,0,23.25,14.9,30.7,15.8,29.9,27.9,68.6,48.25,,,
9021,1990/2/3,0,23.3,15.2,30.9,15.7,31.7,31.3,78.5,54.9,,,
9021,1990/2/4,0,24.15,15.3,31.8,16.5,30.7,27.9,69.8,48.85,,,
9021,1990/2/5,0,26.8,15.4,34.5,19.1,29.7,19.6,48.4,34,,,
9021,1990/2/6,0,28.95,12.5,35.2,22.7,23.4,17.6,36.3,26.95,,,
9021,1990/2/7,0,30.05,14.9,37.5,22.6,20.1,15.5,36.5,26,,,
9021,1990/2/8,0,30.95,12.9,37.4,24.5,28.8,21.8,45.5,33.65,,,
9021,1990/2/9,0,25.9,7.8,29.8,22,10.2,43.4,68.9,56.15,,,
9021,1990/2/10,0.2,26.95,12.9,33.4,20.5,21.2,33.2,70.9,52.05,,,
9021,1990/2/11,0,23.75,11.9,29.7,17.8,20.8,41,83.9,62.45,,,
9021,1990/2/12,0,23.6,6.2,26.7,20.5,13.5,62.8,91.3,77.05,,,
9021,1990/2/13,11.6,21.55,6.5,24.8,18.3,25.9,51.1,76.1,63.6,,,
9021,1990/2/14,0.8,19.3,8,23.3,15.3,12,52.5,86.3,69.4,,,
9021,1990/2/15,6,16.1,8.6,20.4,11.8,21,51.3,88.9,70.1,,,
9021,1990/2/16,1.2,15.7,12.6,22,9.4,23.2,43.5,97.6,70.55,,,
9021,1990/2/17,0,18.05,12.1,24.1,12,21.8,53.3,100,76.65,,,
9021,1990/2/18,0,22.05,16.3,30.2,13.9,29.7,37.3,100,68.65,,,
9021,1990/2/19,0,22.05,14.7,29.4,14.7,29.3,39,95.7,67.35,,,
9021,1990/2/20,0,23.55,14.9,31,16.1,26.1,40.5,99.5,70,,,
9021,1990/2/21,0,25.85,12.3,32,19.7,24.4,38.3,79.3,58.8,,,
9021,1990/2/22,0,23.95,11.5,29.7,18.2,23.9,36,71.8,53.9,,,
9021,1990/2/23,0,27.6,14.4,34.8,20.4,25.5,30.7,71.4,51.05,,,
9021,1990/2/24,0,29.5,13,36,23,27.5,25.2,53.4,39.3,,,
